Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:34:56,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:56,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:56,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:34:56,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:34:56,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:34:57,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:57,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:58,TCP,192.168.2.19,18425,216.198.54.1,443,55,N/A
20:34:58,TCP,192.168.2.19,18425,216.198.54.1,443,55,N/A
20:34:58,TCP,216.198.54.1,443,192.168.2.19,18425,66,N/A
20:34:58,TCP,192.168.2.19,18427,216.198.53.1,443,55,N/A
20:34:58,TCP,192.168.2.19,18427,216.198.53.1,443,55,N/A
20:34:58,TCP,216.198.53.1,443,192.168.2.19,18427,66,N/A
20:34:58,TCP,192.168.2.19,18428,104.17.27.25,443,55,N/A
20:34:58,TCP,192.168.2.19,18368,104.16.141.209,443,55,N/A
20:34:58,TCP,192.168.2.19,18428,104.17.27.25,443,55,N/A
20:34:58,TCP,192.168.2.19,18368,104.16.141.209,443,55,N/A
20:34:58,TCP,104.17.27.25,443,192.168.2.19,18428,66,N/A
20:34:58,TCP,104.16.141.209,443,192.168.2.19,18368,66,N/A
20:34:58,TCP,192.168.2.19,18426,216.198.53.3,443,55,N/A
20:34:58,TCP,192.168.2.19,18426,216.198.53.3,443,55,N/A
20:34:58,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:58,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:34:59,TCP,216.198.53.3,443,192.168.2.19,18426,66,N/A
20:34:59,TCP,192.168.2.19,18424,67.69.196.171,80,54,N/A
20:34:59,TCP,192.168.2.19,18424,67.69.196.171,80,54,N/A
20:34:59,TCP,67.69.196.171,80,192.168.2.19,18424,60,N/A
